"Corn silage"|"Tons"||12|||||||"22142370"|"44330724"
"Barley"|"Bu"|60|60|75|||||"II"|"22142370"|"44330727"
"Wheat"|"Bu"|48|48|60|||||"II"|"22142370"|"44330729"
"Pasture"|"AUM"||6||||||"III"|"22142370"|"44330726"
"Grass-legume hay"|"Tons"||3||||||"III"|"22142370"|"44330725"
"Soybeans"|"Bu"|15|21|21|||||"IV"|"22142370"|"44330728"
"Corn"|"Bu"||72||||||"IVb"|"22142370"|"44330723"
"Alfalfa hay"|"Tons"||2||||||"NS"|"22142370"|"44330722"
"Tobacco"|"Lbs"||2800|||||||"22142382"|"44330764"
"Alfalfa hay"|"Tons"||6||||||"I"|"22142382"|"44330770"
"Barley"|"Bu"|80|80|100|||||"I"|"22142382"|"44330768"
"Wheat"|"Bu"|64|64|80|||||"I"|"22142382"|"44330769"
"Grass-legume hay"|"Tons"||4||||||"II"|"22142382"|"44330766"
"Soybeans"|"Bu"|32|40|40|||||"II"|"22142382"|"44330771"
"Grass-legume pasture"|"AUM"||8.5|||||1|"II"|"22142382"|"44330765"
"Corn"|"Bu"||130||||||"IIb"|"22142382"|"44330767"
"Wheat"|"Bu"||56|||||||"22142383"|"44330777"
"Tobacco"|"Lbs"||2600|||||||"22142383"|"44330776"
"Alfalfa hay"|"Tons"||5.3||||||"I"|"22142383"|"44330772"
"Grass-legume hay"|"Tons"||3.5||||||"II"|"22142383"|"44330774"
"Pasture"|"AUM"||7.7|||||1|"II"|"22142383"|"44330775"
"Corn"|"Bu"||114||||||"IIb"|"22142383"|"44330773"
"Wheat"|"Bu"||51|||||||"22142384"|"44330783"
"Tobacco"|"Lbs"||2300|||||||"22142384"|"44330782"
"Alfalfa hay"|"Tons"||4.8||||||"I"|"22142384"|"44330779"
"Grass-legume hay"|"Tons"||3.2||||||"II"|"22142384"|"44330781"
"Pasture"|"AUM"||7.7|||||1|"II"|"22142384"|"44330778"
"Corn"|"Bu"||104||||||"IIb"|"22142384"|"44330780"
"Pasture"|"AUM"||4.5|||||||"22142386"|"44330791"
"Alfalfa hay"|"Tons"||3.6||||||"I"|"22142386"|"44330796"
"Wheat"|"Bu"|38|38|48|||||"I"|"22142386"|"44330793"
"Barley"|"Bu"|48|48|60|||||"I"|"22142386"|"44330795"
"Grass-legume hay"|"Tons"||2.4||||||"II"|"22142386"|"44330797"
"Soybeans"|"Bu"|19|24|24|||||"II"|"22142386"|"44330794"
"Corn"|"Bu"||78||||||"IIb"|"22142386"|"44330792"
"Pasture"|"AUM"||4|||||||"22142387"|"44330798"
"Pasture"|"AUM"||4||||||"II"|"22142390"|"44330807"
"Oats"|"Bu"||70|||||||"22142391"|"44330811"
"Corn silage"|"Tons"||24|||||||"22142391"|"44330809"
"Alfalfa hay"|"Tons"||5.3||||||"I"|"22142391"|"44330808"
"Barley"|"Bu"|70|70|88|||||"I"|"22142391"|"44330816"
"Wheat"|"Bu"|56|56|70|||||"I"|"22142391"|"44330814"
"Grass-legume hay"|"Tons"||3.5||||||"II"|"22142391"|"44330810"
"Soybeans"|"Bu"|28|35|35|||||"II"|"22142391"|"44330815"
"Pasture"|"AUM"||8||||||"II"|"22142391"|"44330812"
"Corn"|"Bu"||114||||||"IIb"|"22142391"|"44330813"
"Oats"|"Bu"||60|||||||"22142393"|"44330820"
"Corn silage"|"Tons"||16|||||||"22142393"|"44330818"
"Alfalfa hay"|"Tons"||4.8||||||"I"|"22142393"|"44330817"
"Barley"|"Bu"|64|64|80|||||"I"|"22142393"|"44330825"
"Wheat"|"Bu"|51|51|64|||||"I"|"22142393"|"44330823"
"Grass-legume hay"|"Tons"||3.2||||||"II"|"22142393"|"44330819"
"Soybeans"|"Bu"|26|32|32|||||"II"|"22142393"|"44330824"
"Pasture"|"AUM"||7.7||||||"II"|"22142393"|"44330821"
"Corn"|"Bu"||104||||||"IIb"|"22142393"|"44330822"
"Oats"|"Bu"||60|||||||"22142395"|"44330829"
"Grass-legume hay"|"Tons"||3.5||||||"II"|"22142395"|"44330828"
"Soybeans"|"Bu"|26|35|35|||||"II"|"22142395"|"44330833"
"Barley"|"Bu"|62|62|77|||||"II"|"22142395"|"44330832"
"Pasture"|"AUM"||7||||||"II"|"22142395"|"44330830"
"Wheat"|"Bu"|49|49|62|||||"II"|"22142395"|"44330831"
"Alfalfa hay"|"Tons"||3.5||||||"III"|"22142395"|"44330826"
"Corn"|"Bu"||97||||||"IIIb"|"22142395"|"44330827"
"Oats"|"Bu"||55|||||||"22142396"|"44330838"
