"Very channery"|"133972578"|"39017358"
"Very channery"|"133972567"|"39017349"
"Very flaggy"|"133971997"|"39017104"
"Gravelly"|"133972620"|"39017376"
"Extremely channery"|"133972556"|"39017340"
"Channery"|"133972256"|"39017201"
"Extremely channery"|"133972544"|"39017330"
"Very gravelly"|"133972164"|"39017172"
"Very channery"|"133972534"|"39017322"
"Cobbly"|"133972852"|"39017468"
"Channery"|"133972753"|"39017443"
"Gravelly"|"133972145"|"39017165"
"Channery"|"133972237"|"39017190"
"Gravelly"|"133972473"|"39017300"
"Gravelly"|"133972714"|"39017413"
"Very channery"|"133972430"|"39017279"
"Very gravelly"|"133972156"|"39017170"
"Very gravelly"|"133972035"|"39017133"
"Very channery"|"133972546"|"39017332"
"Very channery"|"133972555"|"39017339"
"Channery"|"133972274"|"39017207"
"Gravelly"|"133972851"|"39017467"
"Cobbly"|"133972034"|"39017132"
"Very channery"|"133972208"|"39017180"
"Flaggy"|"133972023"|"39017127"
"Extremely channery"|"133972725"|"39017419"
"Very cobbly"|"133972039"|"39017137"
"Gravelly"|"133972837"|"39017461"
"Channery"|"133972461"|"39017295"
"Very channery"|"133972566"|"39017348"
"Very channery"|"133972545"|"39017331"
"Channery"|"133972230"|"39017185"
"Extremely channery"|"133971998"|"39017105"
"Very flaggy"|"133972024"|"39017128"
"Very channery"|"133972462"|"39017296"
"Gravelly"|"133972631"|"39017381"
"Very channery"|"133972585"|"39017364"
"Very gravelly"|"133972608"|"39017372"
"Very channery"|"133972537"|"39017324"
"Very channery"|"133972285"|"39017214"
"Very channery"|"133972233"|"39017188"
"Very channery"|"133972020"|"39017124"
"Extremely channery"|"133972723"|"39017418"
"Gravelly"|"133972629"|"39017379"
"Very channery"|"133972745"|"39017436"
"Very channery"|"133972526"|"39017316"
"Channery"|"133972281"|"39017212"
"Channery"|"133972428"|"39017277"
"Very channery"|"133972587"|"39017366"
"Gravelly"|"133972491"|"39017306"
"Channery"|"133972733"|"39017426"
"Very channery"|"133972207"|"39017179"
"Gravelly"|"133972186"|"39017174"
"Cobbly"|"133972480"|"39017303"
"Channery"|"133972577"|"39017357"
"Channery"|"133972744"|"39017435"
"Channery"|"133972421"|"39017274"
"Extremely channery"|"133972460"|"39017294"
"Gravelly"|"133972138"|"39017163"
"Very channery"|"133972201"|"39017178"
"Gravelly"|"133972515"|"39017312"
"Channery"|"133972270"|"39017206"
"Extremely channery"|"133972734"|"39017427"
"Very channery"|"133972275"|"39017208"
"Very channery"|"133972557"|"39017341"
"Channery"|"133972238"|"39017191"
"Very channery"|"133971994"|"39017101"
"Very channery"|"133972755"|"39017445"
"Channery"|"133972565"|"39017347"
"Very channery"|"133972286"|"39017215"
"Extremely cobbly"|"133972038"|"39017136"
"Gravelly"|"133972859"|"39017470"
"Channery"|"133972268"|"39017205"
"Very channery"|"133972586"|"39017365"
"Very cobbly"|"133972036"|"39017134"
"Cobbly"|"133972849"|"39017466"
"Extremely channery"|"133972568"|"39017350"
"Gravelly"|"133972630"|"39017380"
"Cobbly"|"133972860"|"39017471"
"Very channery"|"133972277"|"39017210"
"Very channery"|"133972542"|"39017328"
"Channery"|"133972443"|"39017284"
"Channery"|"133972553"|"39017337"
"Gravelly"|"133972838"|"39017462"
"Gravelly"|"133972817"|"39017456"
"Channery"|"133972279"|"39017211"
"Very channery"|"133972748"|"39017439"
"Very channery"|"133972575"|"39017356"
"Gravelly"|"133972183"|"39017173"
"Very channery"|"133972730"|"39017423"
"Extremely cobbly"|"133972037"|"39017135"
"Gravelly"|"133972767"|"39017449"
"Gravelly"|"133972131"|"39017161"
"Very channery"|"133972549"|"39017334"
"Very channery"|"133972574"|"39017355"
"Gravelly"|"133972479"|"39017302"
"Extremely channery"|"133972457"|"39017291"
"Very channery"|"133972215"|"39017182"
"Channery"|"133972560"|"39017343"
"Very channery"|"133972538"|"39017325"
"Gravelly"|"133972830"|"39017459"
"Gravelly"|"133972163"|"39017171"
"Channery"|"133972737"|"39017430"
"Very channery"|"133971993"|"39017100"
"Channery"|"133972236"|"39017189"
"Very channery"|"133972726"|"39017420"
"Channery"|"133972442"|"39017283"
"Gravelly"|"133972494"|"39017307"
"Gravelly"|"133972605"|"39017371"
"Gravelly"|"133972505"|"39017309"
"Very channery"|"133972579"|"39017359"
"Gravelly"|"133972810"|"39017454"
"Very channery"|"133972214"|"39017181"
"Gravelly"|"133972142"|"39017164"
"Very channery"|"133972531"|"39017319"
"Very channery"|"133971995"|"39017102"
"Very channery"|"133972276"|"39017209"
"Very gravelly"|"133972520"|"39017314"
"Gravelly"|"133972487"|"39017305"
"Gravelly"|"133972831"|"39017460"
"Very channery"|"133972581"|"39017361"
"Channery"|"133972435"|"39017280"
"Extremely channery"|"133972727"|"39017421"
"Extremely channery"|"133971992"|"39017099"
"Extremely channery"|"133972232"|"39017187"
"Cobbly"|"133972842"|"39017463"
"Extremely channery"|"133972749"|"39017440"
"Channery"|"133972456"|"39017290"
"Gravelly"|"133972509"|"39017310"
"Extremely channery"|"133972740"|"39017432"
"Very channery"|"133972530"|"39017318"
"Gravelly"|"133972622"|"39017378"
"Channery"|"133972258"|"39017202"
"Very channery"|"133972287"|"39017216"
"Channery"|"133972529"|"39017317"
"Channery"|"133972572"|"39017353"
