||"131711095"|"133972756"
"Silt loam"||"131711095"|"133972757"
"Clay loam"||"131710970"|"133972629"
"Clay"||"131711189"|"133972851"
"Silty clay loam"||"131711116"|"133972778"
"Silt loam"||"131711168"|"133972830"
"Silt loam"||"131710626"|"133972285"
"Clay loam"||"131710845"|"133972504"
"Loam"||"131710937"|"133972596"
|"Bedrock"|"131710900"|"133972559"
"Clay loam"||"131710944"|"133972603"
"Silty clay loam"||"131710545"|"133972204"
"Sandy clay loam"||"131711190"|"133972852"
"Silt loam"||"131711074"|"133972734"
"Silty clay loam"||"131710731"|"133972390"
"Silty clay"||"131710565"|"133972224"
"Loam"||"131710578"|"133972237"
"Silt loam"||"131710926"|"133972585"
"Silty clay loam"||"131710628"|"133972287"
"Silty clay"||"131710543"|"133972202"
"Silty clay"||"131710752"|"133972411"
"Silt loam"||"131710504"|"133972163"
"Silt loam"||"131711085"|"133972746"
"Loam"||"131710567"|"133972226"
"Silty clay"||"131710556"|"133972215"
"Silt loam"||"131710889"|"133972548"
"Silt loam"||"131710918"|"133972577"
"Silt loam"||"131710763"|"133972422"
"Clay loam"||"131711137"|"133972799"
"Silty clay loam"||"131711158"|"133972820"
"Clay loam"||"131711179"|"133972841"
"Loam"||"131711084"|"133972745"
"Silty clay"||"131710554"|"133972213"
"Clay loam"||"131711200"|"133972862"
"Clay loam"||"131710525"|"133972184"
"Silt loam"||"131710885"|"133972544"
"Silty clay"||"131710484"|"133972143"
"Clay loam"||"131710852"|"133972511"
"Clay"||"131711055"|"133972714"
"Silt loam"||"131711062"|"133972721"
"Silty clay"||"131710473"|"133972132"
"Silt loam"||"131710617"|"133972276"
"Silty clay loam"||"131710830"|"133972489"
"Clay loam"||"131711105"|"133972767"
"Sandy loam"||"131710335"|"133971994"
"Silty clay loam"||"131710778"|"133972437"
"Loam"||"131710922"|"133972581"
"Silt loam"||"131711094"|"133972755"
"Loam"||"131710874"|"133972533"
"Silty clay loam"||"131710911"|"133972570"
"Sandy loam"||"131710841"|"133972500"
"Clay"||"131711117"|"133972779"
"Silt loam"||"131710619"|"133972278"
"Sand"||"131711106"|"133972768"
"Silty clay loam"||"131710863"|"133972522"
"Silty clay loam"||"131711044"|"133972703"
"Sandy loam"||"131710377"|"133972036"
"Clay loam"||"131711036"|"133972695"
"Sandy loam"||"131710333"|"133971992"
"Silty clay"||"131710867"|"133972526"
"Sandy clay loam"||"131710523"|"133972182"
"Clay"||"131710482"|"133972141"
"Loamy sand"||"131710379"|"133972038"
"Sandy loam"||"131710366"|"133972025"
"Silt loam"||"131711107"|"133972769"
"Silty clay loam"||"131710730"|"133972389"
"Silty clay loam"||"131710815"|"133972474"
"Sandy loam"||"131710966"|"133972625"
"Silt loam"||"131710596"|"133972255"
"Clay"||"131710598"|"133972257"
"Silt loam"||"131710914"|"133972573"
"Silty clay"||"131710767"|"133972426"
|"Bedrock"|"131710888"|"133972547"
"Loam"||"131710524"|"133972183"
"Silt loam"||"131710925"|"133972584"
"Sandy loam"||"131710962"|"133972621"
"Silt loam"||"131710919"|"133972578"
"Silt loam"||"131710804"|"133972463"
"Clay"||"131711181"|"133972843"
"Silt loam"||"131711157"|"133972819"
"Clay loam"||"131710756"|"133972415"
"Silty clay loam"||"131710826"|"133972485"
"Silt loam"||"131710878"|"133972537"
"Clay loam"||"131711115"|"133972777"
"Silt loam"||"131711170"|"133972832"
"Clay"||"131710471"|"133972130"
"Silt loam"||"131711104"|"133972766"
"Silt loam"||"131710368"|"133972027"
"Silt loam"||"131710608"|"133972267"
|"Bedrock"|"131711096"|"133972758"
"Silt loam"||"131710903"|"133972562"
"Silt loam"||"131710882"|"133972541"
|"Bedrock"|"131710629"|"133972288"
"Clay"||"131710782"|"133972441"
"Silty clay loam"||"131710904"|"133972563"
"Silty clay loam"||"131711146"|"133972808"
"Loam"||"131710940"|"133972599"
"Silt loam"||"131711159"|"133972821"
|"Bedrock"|"131710929"|"133972588"
"Sandy loam"||"131711148"|"133972810"
"Silty clay loam"||"131710576"|"133972235"
"Silty clay"||"131711135"|"133972797"
"Sandy loam"||"131710375"|"133972034"
"Clay"||"131710819"|"133972478"
"Clay"||"131710555"|"133972214"
"Clay"||"131710856"|"133972515"
"Clay"||"131710503"|"133972162"
"Silty clay loam"||"131710808"|"133972467"
"Silt loam"||"131711087"|"133972748"
"Loam"||"131710967"|"133972626"
"Fine sandy loam"||"131710941"|"133972600"
"Silty clay"||"131710481"|"133972140"
"Silt loam"||"131710597"|"133972256"
"Silty clay loam"||"131710618"|"133972277"
"Loam"||"131710837"|"133972496"
"Silty clay loam"||"131710771"|"133972430"
"Clay loam"||"131710800"|"133972459"
"Silty clay"||"131710502"|"133972161"
"Silt loam"||"131711076"|"133972736"
|"Bedrock"|"131710734"|"133972393"
"Clay"||"131711040"|"133972699"
|"Bedrock"|"131710893"|"133972552"
"Silt loam"||"131710915"|"133972574"
"Silt loam"||"131710579"|"133972238"
"Silty clay"||"131711119"|"133972781"
"Silt loam"||"131710879"|"133972538"
"Silty clay loam"||"131710858"|"133972517"
"Silty clay"||"131710776"|"133972435"
"Silt loam"||"131711156"|"133972818"
"Silt loam"||"131710627"|"133972286"
"Silty clay loam"||"131710785"|"133972444"
"Silt loam"||"131710871"|"133972530"
"Silty clay"||"131710557"|"133972216"
"Silty clay loam"||"131710764"|"133972423"
"Silty clay loam"||"131710892"|"133972551"
"Clay"||"131710553"|"133972212"
|"Bedrock"|"131710786"|"133972445"
"Silty clay loam"||"131710568"|"133972227"
"Silty clay loam"||"131710797"|"133972456"
"Silt loam"||"131711145"|"133972807"
"Loam"||"131711108"|"133972770"
"Silt loam"||"131710590"|"133972249"
"Sandy clay loam"||"131710860"|"133972519"
"Silt loam"||"131710616"|"133972275"
"Silt loam"||"131710921"|"133972580"
"Clay"||"131710775"|"133972434"
"Silty clay loam"||"131710848"|"133972507"
"Silty clay"||"131710483"|"133972142"
"Loam"||"131710572"|"133972231"
"Clay"||"131710546"|"133972205"
"Loam"||"131710520"|"133972179"
"Loam"||"131710910"|"133972569"
"Silty clay loam"||"131710538"|"133972197"
"Silty clay loam"||"131710923"|"133972582"
|"Bedrock"|"131710583"|"133972242"
"Clay loam"||"131710612"|"133972271"
"Loam"||"131711071"|"133972731"
"Silt loam"||"131710796"|"133972455"
"Silty clay loam"||"131710472"|"133972131"
"Silty clay loam"||"131711141"|"133972803"
"Clay"||"131710849"|"133972508"
"Loam"||"131711072"|"133972732"
"Silt loam"||"131710369"|"133972028"
"Sandy loam"||"131710332"|"133971991"
"Silty clay loam"||"131710807"|"133972466"
"Silty clay loam"||"131710564"|"133972223"
"Silty clay"||"131710851"|"133972510"
"Loam"||"131710973"|"133972632"
"Silt loam"||"131710838"|"133972497"
"Clay loam"||"131710754"|"133972413"
"Silty clay"||"131710601"|"133972260"
"Silty clay loam"||"131710899"|"133972558"
"Silt loam"||"131711039"|"133972698"
"Loam"||"131711083"|"133972744"
"Loam"||"131710945"|"133972604"
"Silty clay loam"||"131710498"|"133972157"
"Silty clay"||"131710817"|"133972476"
"Clay"||"131711197"|"133972859"
"Silt loam"||"131711082"|"133972743"
|"Bedrock"|"131710575"|"133972234"
|"Bedrock"|"131710912"|"133972571"
|"Bedrock"|"131710765"|"133972424"
"Loam"||"131711093"|"133972754"
"Silty clay loam"||"131710880"|"133972539"
"Silt loam"||"131710609"|"133972268"
"Loam"||"131710840"|"133972499"
"Sandy clay loam"||"131710943"|"133972602"
"Silty clay"||"131710755"|"133972414"
"Silt loam"||"131711086"|"133972747"
"Silt loam"||"131710505"|"133972164"
"Sandy clay loam"||"131711058"|"133972717"
"Silty clay"||"131711138"|"133972800"
"Silty clay loam"||"131711167"|"133972829"
"Clay"||"131710859"|"133972518"
"Loam"||"131710527"|"133972186"
"Clay loam"||"131710816"|"133972475"
"Silt loam"||"131710974"|"133972633"
"Clay loam"||"131711047"|"133972706"
"Loam"||"131711193"|"133972855"
"Silt loam"||"131710516"|"133972175"
"Silt loam"||"131710965"|"133972624"
"Silty clay loam"||"131710818"|"133972477"
"Silty clay loam"||"131710479"|"133972138"
"Sandy clay loam"||"131711182"|"133972844"
"Loam"||"131710963"|"133972622"
"Sandy loam"||"131710376"|"133972035"
|"Bedrock"|"131711068"|"133972728"
"Silt loam"||"131710901"|"133972560"
"Sandy loam"||"131710380"|"133972039"
"Silty clay loam"||"131710805"|"133972464"
"Clay"||"131711059"|"133972718"
"Silt loam"||"131710620"|"133972279"
"Silt loam"||"131711149"|"133972811"
"Clay"||"131710827"|"133972486"
"Silt loam"||"131710891"|"133972550"
"Sandy loam"||"131710975"|"133972634"
"Loam"||"131710964"|"133972623"
"Silty clay"||"131710480"|"133972139"
"Silty clay"||"131710733"|"133972392"
"Clay loam"||"131711123"|"133972785"
"Clay"||"131710753"|"133972412"
"Silt loam"||"131711171"|"133972833"
"Silty clay"||"131710542"|"133972201"
"Silty clay loam"||"131710501"|"133972160"
"Silt loam"||"131711075"|"133972735"
"Silty clay"||"131710774"|"133972433"
"Clay loam"||"131710594"|"133972253"
"Silt loam"||"131710890"|"133972549"
"Silty clay loam"||"131711038"|"133972697"
"Silty clay"||"131710490"|"133972149"
"Loam"||"131711178"|"133972840"
"Silt loam"||"131711037"|"133972696"
"Silt loam"||"131711175"|"133972837"
"Sandy loam"||"131710336"|"133971995"
|"Bedrock"|"131710881"|"133972540"
"Loamy sand"||"131710365"|"133972024"
"Clay loam"||"131711186"|"133972848"
"Silt loam"||"131710870"|"133972529"
"Loam"||"131710829"|"133972488"
"Silt loam"||"131711112"|"133972774"
"Silty clay loam"||"131711160"|"133972822"
"Silt loam"||"131710777"|"133972436"
|"Bedrock"|"131710869"|"133972528"
"Silt loam"||"131711134"|"133972796"
"Sandy loam"||"131710339"|"133971998"
"Silt loam"||"131710766"|"133972425"
"Silt loam"||"131710751"|"133972410"
"Loam"||"131710821"|"133972480"
"Sandy clay loam"||"131710850"|"133972509"
"Clay"||"131710809"|"133972468"
"Silt loam"||"131711069"|"133972729"
"Silty clay loam"||"131710517"|"133972176"
"Silt loam"||"131711090"|"133972751"
"Silt loam"||"131710569"|"133972228"
"Clay loam"||"131711121"|"133972783"
|"Bedrock"|"131710772"|"133972431"
"Loam"||"131711111"|"133972773"
"Silt loam"||"131710615"|"133972274"
"Silty clay"||"131710810"|"133972469"
"Clay loam"||"131711053"|"133972712"
"Silty clay"||"131710499"|"133972158"
"Silty clay loam"||"131710372"|"133972031"
