"CL"|Yes|"65378214"|"121904163"
"SC-SM"|No |"65378214"|"121904164"
"CL"|Yes|"65378362"|"121904476"
"CL-ML"|No |"65378362"|"121904477"
"ML"|Yes|"65378203"|"121904150"
"GC"|Yes|"65378226"|"121904182"
"SC"|No |"65378226"|"121904183"
"CH"|Yes|"65378104"|"121903958"
"CL"|Yes|"65378336"|"121904426"
"CL-ML"|No |"65378336"|"121904427"
"ML"|No |"65378336"|"121904428"
"CH"|Yes|"65378052"|"121903871"
"CH"|No |"65378052"|"121903872"
"SC"|No |"65378052"|"121903873"
"GC"|Yes|"65378115"|"121903984"
"GC-GM"|No |"65378115"|"121903985"
"GM"|No |"65378115"|"121903986"
"CL-ML"|Yes|"65378215"|"121904165"
"CL"|No |"65378215"|"121904166"
"GC"|Yes|"65378189"|"121904122"
"GC"|Yes|"65378177"|"121904110"
"CL"|No |"65378310"|"121904365"
"GC"|Yes|"65378310"|"121904366"
"GC"|Yes|"65378318"|"121904381"
"GC"|Yes|"65378244"|"121904221"
"SC"|No |"65378244"|"121904222"
"CH"|Yes|"65378162"|"121904078"
"CL"|No |"65378162"|"121904079"
"CH"|Yes|"65378188"|"121904120"
"CL"|No |"65378188"|"121904121"
"SC"|Yes|"65378003"|"121903761"
"CL"|Yes|"65378199"|"121904144"
"GC"|No |"65378199"|"121904145"
"SC"|No |"65378199"|"121904146"
"GC"|Yes|"65378325"|"121904395"
"SM"|Yes|"65378011"|"121903777"
"CH"|No |"65378303"|"121904348"
"CL"|Yes|"65378303"|"121904349"
"CH"|No |"65378347"|"121904446"
"CL"|Yes|"65378347"|"121904447"
"CL"|Yes|"65378225"|"121904179"
"GC"|No |"65378225"|"121904180"
"SC"|No |"65378225"|"121904181"
"CL-ML"|Yes|"65378266"|"121904275"
"ML"|No |"65378266"|"121904276"
"ML"|Yes|"65378204"|"121904151"
"CL"|Yes|"65378074"|"121903914"
"CL"|Yes|"65378366"|"121904486"
"ML"|No |"65378366"|"121904487"
"CL-ML"|No |"65378366"|"121904488"
"CL"|Yes|"65378196"|"121904137"
"GC"|No |"65378196"|"121904138"
"ML"|Yes|"65378207"|"121904154"
"CL-ML"|Yes|"65378218"|"121904170"
"CL"|No |"65378218"|"121904171"
"CL"|Yes|"65378355"|"121904462"
"CL-ML"|No |"65378355"|"121904463"
"GC"|Yes|"65378185"|"121904118"
"GC"|Yes|"65378241"|"121904215"
"GC-GM"|No |"65378241"|"121904216"
"GM"|No |"65378241"|"121904217"
"GC"|Yes|"65378111"|"121903972"
"GC-GM"|No |"65378111"|"121903973"
"GM"|No |"65378111"|"121903974"
"SM"|Yes|"65378012"|"121903778"
"CL"|Yes|"65378082"|"121903922"
"SC"|Yes|"65377991"|"121903734"
"CL"|No |"65378240"|"121904210"
"GC"|No |"65378240"|"121904211"
"GM"|No |"65378240"|"121904212"
"ML"|No |"65378240"|"121904213"
"GC-GM"|Yes|"65378240"|"121904214"
"ML"|Yes|"65378211"|"121904158"
"GC-GM"|No |"65377992"|"121903735"
"GM"|No |"65377992"|"121903736"
"SM"|No |"65377992"|"121903737"
"SC"|Yes|"65377992"|"121903738"
"CH"|No |"65378174"|"121904105"
"CL"|Yes|"65378174"|"121904106"
"CH"|Yes|"65378089"|"121903931"
"CL"|Yes|"65378078"|"121903918"
"CL-ML"|Yes|"65378351"|"121904454"
"ML"|No |"65378351"|"121904455"
"CH"|Yes|"65378067"|"121903899"
"CH"|Yes|"65378340"|"121904434"
"CL"|No |"65378340"|"121904435"
"ML"|Yes|"65378200"|"121904147"
"CL"|No |"65378262"|"121904263"
"GC"|Yes|"65378262"|"121904264"
"SC"|No |"65378262"|"121904265"
"GC"|Yes|"65378229"|"121904189"
"GC-GM"|No |"65378229"|"121904190"
"GM"|No |"65378229"|"121904191"
"ML"|Yes|"65378201"|"121904148"
"CL"|Yes|"65378213"|"121904161"
"CL-ML"|No |"65378213"|"121904162"
"CH"|Yes|"65378075"|"121903915"
"CL"|Yes|"65378361"|"121904474"
"CL-ML"|No |"65378361"|"121904475"
"CL"|Yes|"65378086"|"121903926"
"CL-ML"|No |"65378086"|"121903927"
"ML"|Yes|"65378202"|"121904149"
"CL"|Yes|"65378350"|"121904452"
"CL-ML"|No |"65378350"|"121904453"
"CL"|Yes|"65378107"|"121903963"
"CL-ML"|No |"65378107"|"121903964"
"SC-SM"|No |"65378107"|"121903965"
"CL"|No |"65378234"|"121904197"
"GC"|No |"65378234"|"121904198"
"GM"|No |"65378234"|"121904199"
"ML"|No |"65378234"|"121904200"
"GC-GM"|Yes|"65378234"|"121904201"
"CL"|Yes|"65378339"|"121904433"
"CL"|Yes|"65378008"|"121903772"
"CL-ML"|No |"65378008"|"121903773"
"CH"|Yes|"65378223"|"121904177"
"GC"|No |"65378223"|"121904178"
"CL"|No |"65378252"|"121904236"
"GC"|No |"65378252"|"121904237"
"GM"|No |"65378252"|"121904238"
"ML"|No |"65378252"|"121904239"
"GC-GM"|Yes|"65378252"|"121904240"
"GC-GM"|No |"65378004"|"121903762"
"GM"|No |"65378004"|"121903763"
"SM"|No |"65378004"|"121903764"
"SC"|Yes|"65378004"|"121903765"
"CH"|Yes|"65378180"|"121904112"
"CL"|No |"65378180"|"121904113"
"GC"|No |"65378315"|"121904370"
"GM"|No |"65378315"|"121904371"
"ML"|Yes|"65378315"|"121904372"
"SC"|No |"65378315"|"121904373"
"CH"|Yes|"65378108"|"121903966"
"CH"|Yes|"65378222"|"121904176"
"GC"|Yes|"65378181"|"121904114"
"CL"|Yes|"65378097"|"121903944"
"GC-GM"|No |"65378097"|"121903945"
"CL"|Yes|"65378243"|"121904218"
"GC"|No |"65378243"|"121904219"
"SC"|No |"65378243"|"121904220"
"CL"|Yes|"65378370"|"121904497"
"CL-ML"|No |"65378370"|"121904498"
"CL"|Yes|"65378212"|"121904159"
"CL-ML"|No |"65378212"|"121904160"
"GC"|No |"65377993"|"121903739"
"GM"|No |"65377993"|"121903740"
"SC"|Yes|"65377993"|"121903741"
"SM"|No |"65377993"|"121903742"
"GC"|Yes|"65378232"|"121904195"
"SC"|No |"65378232"|"121904196"
"CH"|No |"65378337"|"121904429"
"CL"|Yes|"65378337"|"121904430"
"CL-ML"|Yes|"65378306"|"121904355"
"ML"|No |"65378306"|"121904356"
"CL"|No |"65378317"|"121904379"
"GC"|Yes|"65378317"|"121904380"
"CL"|Yes|"65378358"|"121904468"
"CL-ML"|No |"65378358"|"121904469"
"CL"|No |"65378368"|"121904491"
"SC"|No |"65378368"|"121904492"
"CH"|Yes|"65378368"|"121904493"
"ML"|Yes|"65378210"|"121904157"
"ML"|No |"65378369"|"121904494"
"CL-ML"|No |"65378369"|"121904495"
"CL"|Yes|"65378369"|"121904496"
"CL-ML"|Yes|"65378348"|"121904448"
"ML"|No |"65378348"|"121904449"
"CL"|Yes|"65378221"|"121904175"
"GC"|No |"65378005"|"121903766"
"GM"|No |"65378005"|"121903767"
"SC"|Yes|"65378005"|"121903768"
"SM"|No |"65378005"|"121903769"
"CL"|Yes|"65378359"|"121904470"
"CL-ML"|No |"65378359"|"121904471"
"CL"|Yes|"65378088"|"121903929"
"CL-ML"|No |"65378088"|"121903930"
"CH"|No |"65378307"|"121904357"
"CL"|No |"65378307"|"121904358"
"ML"|Yes|"65378307"|"121904359"
"CL"|Yes|"65378053"|"121903874"
"CL-ML"|No |"65378053"|"121903875"
"CL"|Yes|"65378066"|"121903897"
"CL-ML"|No |"65378066"|"121903898"
"CL"|No |"65378110"|"121903967"
"GC"|No |"65378110"|"121903968"
"GM"|No |"65378110"|"121903969"
"ML"|No |"65378110"|"121903970"
"GC-GM"|Yes|"65378110"|"121903971"
"CL"|Yes|"65378268"|"121904278"
"ML"|No |"65378268"|"121904279"
"GP"|No |"65378334"|"121904420"
"GW"|No |"65378334"|"121904421"
"SP-SM"|Yes|"65378334"|"121904422"
"CL-ML"|Yes|"65378007"|"121903770"
"ML"|No |"65378007"|"121903771"
"CL"|No |"65378371"|"121904499"
"SC"|No |"65378371"|"121904500"
"CH"|Yes|"65378371"|"121904501"
"GC"|Yes|"65378057"|"121903883"
"GC-GM"|No |"65378057"|"121903884"
"CL"|Yes|"65378331"|"121904409"
"ML"|No |"65378331"|"121904410"
