|"Interfluve"|||"34483229"|"13215128"
|"Nose Slope"|||"34483229"|"13215129"
|"Side Slope"|||"34483229"|"13215130"
|"Interfluve"|||"34483119"|"13214974"
|"Nose Slope"|||"34483119"|"13214975"
|"Side Slope"|||"34483119"|"13214976"
||"Tread"||"34483174"|"13215063"
||"Tread"||"34483211"|"13215101"
|"Interfluve"|||"34483129"|"13214990"
|"Nose Slope"|||"34483129"|"13214991"
|"Side Slope"|||"34483129"|"13214992"
|"Base Slope"|||"34483200"|"13215089"
||"Tread"||"34483097"|"13214947"
|"Nose Slope"|||"34483163"|"13215042"
|"Side Slope"|||"34483163"|"13215043"
||"Tread"||"34483244"|"13215151"
|"Interfluve"|||"34483123"|"13214979"
|"Nose Slope"|||"34483118"|"13214972"
|"Side Slope"|||"34483118"|"13214973"
|"Nose Slope"|||"34483218"|"13215114"
|"Side Slope"|||"34483218"|"13215115"
"Mountainflank"||||"34483092"|"13214943"
|"Interfluve"|||"34483126"|"13214984"
|"Head Slope"|||"34483207"|"13215100"
|"Base Slope"|||"34483207"|"13215099"
|"Interfluve"|||"34483170"|"13215056"
|"Nose Slope"|||"34483170"|"13215057"
|"Side Slope"|||"34483170"|"13215058"
||"Tread"||"34483181"|"13215067"
|"Interfluve"|||"34483233"|"13215138"
|"Nose Slope"|||"34483233"|"13215139"
|"Side Slope"|||"34483233"|"13215140"
|"Side Slope"|||"34483111"|"13214963"
"Free face"||||"34483093"|"13214944"
|"Head Slope"|||"34483166"|"13215049"
|"Base Slope"|||"34483166"|"13215048"
||"Tread"||"34483182"|"13215068"
|"Nose Slope"|||"34483132"|"13214998"
|"Side Slope"|||"34483132"|"13214999"
|"Interfluve"|||"34483130"|"13214993"
|"Nose Slope"|||"34483130"|"13214994"
|"Side Slope"|||"34483130"|"13214995"
|"Nose Slope"|||"34483131"|"13214996"
|"Side Slope"|||"34483131"|"13214997"
|"Interfluve"|||"34483234"|"13215141"
|"Nose Slope"|||"34483234"|"13215142"
