MapUnitKey,RatingStr,RatingNum,RgbString
dummy,dummy,123.456,dummy
520193,"0.10",0.100000,"#FF0000"
520202,"0.10",0.100000,"#FF0000"
520210,"0.13",0.130000,"#FF0000"
520231,"0.22",0.220000,"#0000FF"
520232,"0.22",0.220000,"#0000FF"
520233,"0.22",0.220000,"#0000FF"
520238,"0.10",0.100000,"#FF0000"
520239,"0.10",0.100000,"#FF0000"
520242,"0.20",0.200000,"#4FBBFF"
520244,"0.20",0.200000,"#4FBBFF"
520245,"0.20",0.200000,"#4FBBFF"
520246,"0.15",0.150000,"#FFD000"
520247,"0.15",0.150000,"#FFD000"
520251,"0.16",0.160000,"#FFD000"
520253,"0.16",0.160000,"#FFD000"
520255,"0.16",0.160000,"#FFD000"
520256,"0.16",0.160000,"#FFD000"
520269,"0.17",0.170000,"#C4FA9E"
520281,"0.19",0.190000,"#4FBBFF"
520284,"",,"#DCDCDC"
520288,"0.21",0.210000,"#0000FF"
520290,"0.19",0.190000,"#4FBBFF"
520291,"0.19",0.190000,"#4FBBFF"
520292,"0.19",0.190000,"#4FBBFF"
520293,"0.19",0.190000,"#4FBBFF"
520295,"0.19",0.190000,"#4FBBFF"
520296,"0.19",0.190000,"#4FBBFF"
520297,"0.16",0.160000,"#FFD000"
520298,"0.16",0.160000,"#FFD000"
520300,"0.18",0.180000,"#C4FA9E"
520301,"0.18",0.180000,"#C4FA9E"
520302,"0.18",0.180000,"#C4FA9E"
520303,"0.15",0.150000,"#FFD000"
520304,"0.15",0.150000,"#FFD000"
520305,"0.18",0.180000,"#C4FA9E"
520306,"0.18",0.180000,"#C4FA9E"
520307,"0.19",0.190000,"#4FBBFF"
520311,"0.19",0.190000,"#4FBBFF"
520316,"0.19",0.190000,"#4FBBFF"
520327,"0.16",0.160000,"#FFD000"
520330,"0.15",0.150000,"#FFD000"
520331,"0.15",0.150000,"#FFD000"
520332,"0.15",0.150000,"#FFD000"
520334,"0.18",0.180000,"#C4FA9E"
520340,"0.19",0.190000,"#4FBBFF"
520343,"0.19",0.190000,"#4FBBFF"
520344,"",,"#DCDCDC"
520349,"",,"#DCDCDC"
520352,"0.11",0.110000,"#FF0000"
520353,"0.11",0.110000,"#FF0000"
520356,"0.11",0.110000,"#FF0000"
520358,"0.15",0.150000,"#FFD000"
520361,"0.15",0.150000,"#FFD000"
520362,"0.17",0.170000,"#C4FA9E"
520367,"0.12",0.120000,"#FF0000"
520368,"0.12",0.120000,"#FF0000"
520369,"0.12",0.120000,"#FF0000"
520385,"0.12",0.120000,"#FF0000"
520386,"0.12",0.120000,"#FF0000"
520414,"0.17",0.170000,"#C4FA9E"
520430,"0.16",0.160000,"#FFD000"
520432,"",,"#DCDCDC"
